locate,symbol,prints,unpriced,min_tick,max_tick,shares,vwap_micro
8000,NUWE,28,0,9800,10400,4621,9945093919
4749,GLMD,26,0,5991,6527,5270,6205579886
6180,JMTG,74,0,503000,503900,3494,503304235832
1730,BTZ,101,0,99900,100700,4079,100264550134
12003,WALDW,5,0,450,515,2717,458281192
6988,MBBC,14,0,145000,146500,1107,145957994579
9321,RB,2,0,459900,460000,200,459950000000
11342,TVGNW,23,0,405,428,33243,406624372
6463,KRMA,1,0,466200,466200,73,466200000000
5462,IBDT,53,0,252000,252100,17812,252050600718
7722,NEWTI,3,0,253300,253400,384,253391145833
7905,NRIM,692,0,230300,234700,30341,233423387495
2246,CLNK,1,0,182900,182900,1,182900000000
12519,YLDE,2,0,553100,554700,200,553900000000
227,AERT,11,0,6927,7000,700,6993051428
10500,SPXV,1,0,819300,819300,1,819300000000
4664,GGT,12,0,41400,41600,2074,41586788813
10240,SMB,4,0,172100,172200,549,172188706739
4958,GSIB,2,0,552000,553100,820,552134146341
5458,IBCP,1466,0,324300,330500,28443,326765337692
3525,EMOP,3,0,499300,499500,240,499400000000
12507,YGLD,2,0,386000,386800,33,386242424242
2234,CLGN,5,0,4300,4350,106,4300566037
10051,SGC,131,0,112900,116000,4117,113806995384
4973,GSRF,14,0,101300,101900,11851,101300303771
3323,ECCU,3,0,253100,253300,31,253132258064
3024,DJP,5,0,503100,504100,348,504010632183
9429,REVB,19,0,9600,10200,4407,9684708418
2618,CSV,346,0,428000,441500,4811,432706900852
5654,IHD,58,0,71600,72100,6491,71870559235
4937,GRW,3,0,301000,302100,90,302083333333
5378,HVT,442,0,205100,210100,8178,208366275372
11453,UG,12,0,70300,71600,656,70993445121
1180,BDBT,4,0,250000,250300,800,250087500000
6610,LDUR,11,0,952900,953200,764,953043848167
6233,JSM,6,0,185100,186000,264,185460984848
5743,INBK,109,0,229900,235200,3876,231723684210
2775,DAO,22,0,117900,123000,1069,120972310570
7399,MSBI,1559,0,261600,266200,39953,264856679097
3350,EDGH,8,0,348800,349900,502,349381673306
5614,IFGL,5,0,229100,230400,668,229638473053
2351,CNS,427,0,710100,719000,10407,715064168348
59,ABLD,2,0,312800,313600,104,312830769230
10332,SNT,50,0,26000,26600,6707,26461592366
5842,IPAC,40,0,814500,818200,2444,817098117839
5949,ITDJ,3,0,318700,319000,237,318826582278
5909,IRTR,4,0,316400,316800,233,316499570815
3012,DIVI,15,0,420700,422200,1115,421392017937
5571,IDHQ,68,0,392900,395100,4627,394111454506
6006,IWLG,4,0,559200,562900,1140,560198333333
9035,PTLC,14,0,575500,577500,285,576872982456
9199,QQDN,1,0,203600,203600,16,203600000000
6072,JAPN,4,0,226000,227100,1436,226455640668
10731,SWVL,27,0,15300,18000,3554,16082611142
10158,SJB,13,0,154000,154200,7507,154094751565
6329,KEMX,1,0,476200,476200,60,476200000000
6222,JPXN,6,0,982500,987600,61,987254098360
10706,SVCCW,2,0,1994,2200,178,2109730337
2417,COOT,12,0,6100,6223,1180,6108338983
3357,EDIV,15,0,407300,409100,1000,408034000000
828,ATGL,195,0,154100,177700,3338,163181485919
11101,TMUSL,24,0,247100,249500,1344,249206994047
2920,DFGR,98,0,282700,283800,16507,283362434118
